Fruit,AbilityDescription,Name,FruitType,Bounty,Affiliation,Status
Arms-Arms Fruit,"Allows users to transform their bodies into weapons of any kind.",Baby 5,Paramecia,Unknown,Unknown,Unknown
Art-Art Fruit,"Allows users to transform people and objects into abstract art.",Giolla,Paramecia,Unknown,Unknown,Unknown
Barrier-Barrier Fruit,"Allows users to create unbreakable barriers. Users: Semimaru (past), Bartolomeo (current).","Semimaru (past), Bartolomeo (current)",Paramecia,Unknown,Unknown,Unknown
Berry-Berry Fruit,"Allows users to split their bodies into separate spheres.",Very Good,Paramecia,Unknown,Unknown,Unknown
Bind-Bind Fruit,"Allows users to create iron cages to bind their enemies.",Hina,Paramecia,Unknown,Unknown,Unknown
Bis-Bis Fruit,"Allows users to generate and manipulate biscuits.",Charlotte Cracker,Paramecia,860000000,Big Mom Pirates,Active
Boing-Boing Fruit,"Allows users to turn their limbs into springs.",Bellamy,Paramecia,195000000,Donquixote Pirates,Active
Book-Book Fruit,"Allows users to trap people inside books.",Charlotte Mont-d'Or,Paramecia,120000000,Big Mom Pirates,Active
Boom-Boom Fruit,"Allows users to create explosions from their bodily secretions, and also make them immune to explosions.",Gem,Paramecia,10000000,Baroque Works,Active
Brain-Brain Fruit,"Allows users to store an incredible amount of information in their brains.",Dr. Vegapunk,Paramecia,Unknown,Unknown,Unknown
Brush-Brush Fruit,"Allows users to create ink, manifesting anything they draw and manipulating it through a brush.",Kanjuro,Paramecia,Unknown,Unknown,Unknown
Bubble-Bubble Fruit,"Allows users to create soap bubbles to clean anything, even the enemies' physical strength.",Kalifa,Paramecia,Unknown,Unknown,Unknown
Butter-Butter Fruit,"Allows users to create and control butter.",Charlotte Galette,Paramecia,Unknown,Unknown,Unknown
Calm-Calm Fruit,"Allows users to nullify sounds around them.",Rocinante,Paramecia,Unknown,Unknown,Unknown
Castle-Castle Fruit,"Makes users become a living fortress equipped with firearms, as well as letting them shrink anything that enters their bodies.",Capone,Paramecia,Unknown,Unknown,Unknown
Chop-Chop Fruit,"Allows users to split their bodies into separate pieces, becoming immune to slashing attacks.",Buggy,Paramecia,3189000000,Cross Guild,Active
